,alpha,kernel,score
61,5e-09,"Matern(length_scale=1, nu=2.5) + RBF(length_scale=1)",0.5150595872057082
62,5e-09,"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)",0.4064001798635224
63,5e-09,"Matern(length_scale=1, nu=0.5) * RBF(length_scale=1)",0.4930254403898854
64,5e-09,"Matern(length_scale=1, nu=2.5) * RBF(length_scale=1)",0.34192384897008116
65,5e-09,"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=0.5)",0.49302694558059434
66,1e-08,"Matern(length_scale=1, nu=1.5)",0.4064008871508936
67,1e-08,"Matern(length_scale=1, nu=0.5)",0.493027205967915
68,1e-08,"Matern(length_scale=1, nu=2.5)",0.34192352050076735
69,1e-08,"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=0.5)",0.5198040238263149
70,1e-08,"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)",0.510798820816788
71,1e-08,"Matern(length_scale=1, nu=0.5) + RBF(length_scale=1)",0.5083987014913998
72,1e-08,"Matern(length_scale=1, nu=2.5) + RBF(length_scale=1)",0.515059740670435
73,1e-08,"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)",0.4064000859883638
74,1e-08,"Matern(length_scale=1, nu=0.5) * RBF(length_scale=1)",0.49302536649090706
75,1e-08,"Matern(length_scale=1, nu=2.5) * RBF(length_scale=1)",0.34192365263510316
76,1e-08,"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=0.5)",0.493027135823468
77,2e-08,"Matern(length_scale=1, nu=1.5)",0.40640089134383617
78,2e-08,"Matern(length_scale=1, nu=0.5)",0.4930272065620832
79,2e-08,"Matern(length_scale=1, nu=2.5)",0.34192352838298434
80,2e-08,"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=0.5)",0.5198040288566289
81,2e-08,"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)",0.5107988380622276
82,2e-08,"Matern(length_scale=1, nu=0.5) + RBF(length_scale=1)",0.5083980370648508
83,2e-08,"Matern(length_scale=1, nu=2.5) + RBF(length_scale=1)",0.5150596480720204
84,2e-08,"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)",0.4064003781240406
85,2e-08,"Matern(length_scale=1, nu=0.5) * RBF(length_scale=1)",0.4930259833875209
86,2e-08,"Matern(length_scale=1, nu=2.5) * RBF(length_scale=1)",0.3419204908147449
87,2e-08,"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=0.5)",0.49302679566548235
88,5e-08,"Matern(length_scale=1, nu=1.5)",0.4064009039222981
89,5e-08,"Matern(length_scale=1, nu=0.5)",0.49302720834459957
90,5e-08,"Matern(length_scale=1, nu=2.5)",0.341923552029139
91,5e-08,"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=0.5)",0.5198040973347446
92,5e-08,"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)",0.5107988106418728
93,5e-08,"Matern(length_scale=1, nu=0.5) + RBF(length_scale=1)",0.5083980520655565
94,5e-08,"Matern(length_scale=1, nu=2.5) + RBF(length_scale=1)",0.5150595608389404
95,5e-08,"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)",0.40640011684215693
96,5e-08,"Matern(length_scale=1, nu=0.5) * RBF(length_scale=1)",0.49302546631357524
97,5e-08,"Matern(length_scale=1, nu=2.5) * RBF(length_scale=1)",0.3419233751285602
98,5e-08,"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=0.5)",0.4930272541458393
