,iterations,learning_rate,max_depth,rsm,subsample,score
184,1500,0.05,5,0.6,0.6,0.6860587175330078
185,1500,0.05,5,0.6,1.0,0.6734833987020336
186,1500,0.05,5,1.0,0.6,0.6812921103215474
187,1500,0.05,5,1.0,1.0,0.6832256827845719
188,1500,0.05,7,0.6,0.6,0.6759228045466891
189,1500,0.05,7,0.6,1.0,0.6765792877235712
190,1500,0.05,7,1.0,0.6,0.6667693967180092
191,1500,0.05,7,1.0,1.0,0.6676018872074928
192,1500,0.1,3,0.6,0.6,0.6763357315179647
193,1500,0.1,3,0.6,1.0,0.6668648215132713
194,1500,0.1,3,1.0,0.6,0.6783008222379928
195,1500,0.1,3,1.0,1.0,0.6672639466365643
196,1500,0.1,5,0.6,0.6,0.6758701962959798
197,1500,0.1,5,0.6,1.0,0.6693179658413725
198,1500,0.1,5,1.0,0.6,0.6655428796342802
199,1500,0.1,5,1.0,1.0,0.6791619030971378
200,1500,0.1,7,0.6,0.6,0.6647905675879818
201,1500,0.1,7,0.6,1.0,0.6570681553765773
202,1500,0.1,7,1.0,0.6,0.6605154193310355
203,1500,0.1,7,1.0,1.0,0.6608470300268062
204,1500,0.2,3,0.6,0.6,0.6570736589779141
205,1500,0.2,3,0.6,1.0,0.6533577162057904
206,1500,0.2,3,1.0,0.6,0.6644027921591931
207,1500,0.2,3,1.0,1.0,0.6635040390272675
208,1500,0.2,5,0.6,0.6,0.6572067393584263
209,1500,0.2,5,0.6,1.0,0.6639930565693293
210,1500,0.2,5,1.0,0.6,0.6622092466734326
211,1500,0.2,5,1.0,1.0,0.6630760888731329
212,1500,0.2,7,0.6,0.6,0.6426921968804867
213,1500,0.2,7,0.6,1.0,0.6406036904197945
214,1500,0.2,7,1.0,0.6,0.6446478086007217
215,1500,0.2,7,1.0,1.0,0.6433127796938386
