iter	Passed	Remaining
0	3	7039
1	8	8256
2	12	8611
3	17	8804
4	22	9008
5	26	8972
6	31	8939
7	36	9007
8	40	9043
9	45	8989
10	49	8998
11	54	9006
12	58	8943
13	62	8883
14	67	8897
15	71	8900
16	76	8895
17	80	8901
18	85	8895
19	89	8884
20	93	8843
21	98	8864
22	103	8890
23	108	8892
24	112	8896
25	117	8905
26	121	8893
27	126	8875
28	130	8873
29	135	8881
30	139	8873
31	143	8855
32	148	8863
33	153	8861
34	157	8845
35	161	8836
36	166	8836
37	170	8828
38	175	8820
39	180	8825
40	184	8837
41	189	8840
42	194	8834
43	198	8830
44	203	8842
45	207	8834
46	212	8826
47	217	8825
48	221	8827
49	226	8824
50	230	8814
51	235	8808
52	239	8804
53	244	8806
54	248	8798
55	253	8786
56	257	8776
57	261	8772
58	266	8761
59	270	8746
60	274	8728
61	278	8715
62	283	8708
63	287	8694
64	291	8681
65	296	8677
66	300	8667
67	304	8654
68	308	8646
69	313	8646
70	317	8639
71	322	8641
72	327	8636
73	331	8629
74	335	8619
75	340	8613
76	345	8617
77	349	8605
78	353	8592
79	357	8576
80	361	8567
81	365	8557
82	369	8544
83	374	8538
84	379	8541
85	383	8536
86	387	8529
87	392	8524
88	396	8515
89	400	8508
90	405	8503
91	409	8501
92	414	8494
93	418	8489
94	423	8487
95	427	8483
96	431	8475
97	436	8465
98	440	8456
99	444	8454
100	451	8486
101	458	8526
102	464	8554
103	470	8574
104	475	8584
105	481	8595
106	486	8605
107	492	8621
108	497	8629
109	502	8636
110	507	8642
111	512	8646
112	517	8641
113	522	8636
114	526	8632
115	531	8639
116	536	8639
117	541	8644
118	546	8644
119	551	8641
120	556	8639
121	561	8642
122	566	8640
123	571	8639
124	575	8635
125	580	8633
126	585	8630
127	589	8626
128	594	8624
129	599	8625
130	604	8618
131	608	8613
132	613	8605
133	617	8602
134	622	8599
135	627	8595
136	631	8587
137	636	8586
138	640	8580
139	645	8570
140	649	8566
141	654	8563
142	659	8558
143	663	8551
144	668	8550
145	672	8544
146	677	8536
147	681	8531
148	686	8531
149	691	8525
150	696	8525
151	701	8523
152	705	8516
153	710	8514
154	715	8511
155	719	8507
156	724	8499
157	728	8492
158	733	8489
159	737	8484
160	742	8482
161	747	8483
162	752	8481
163	757	8478
164	761	8473
165	766	8464
166	770	8456
167	775	8455
168	780	8452
169	784	8446
170	789	8441
171	793	8437
172	798	8434
173	803	8432
174	807	8425
175	812	8419
176	816	8414
177	821	8411
178	826	8406
179	830	8401
180	835	8398
181	840	8395
182	845	8390
183	849	8388
184	854	8386
185	859	8382
186	864	8381
187	868	8375
188	873	8369
189	877	8363
190	895	8482
191	900	8477
192	904	8469
193	909	8463
194	913	8458
195	918	8452
196	922	8445
197	927	8441
198	932	8435
199	936	8428
200	941	8423
201	945	8419
202	950	8413
203	954	8407
204	959	8404
205	964	8398
206	968	8391
207	973	8385
208	977	8380
209	982	8374
210	986	8368
211	991	8365
212	996	8362
213	1001	8356
214	1005	8349
215	1010	8344
216	1014	8338
217	1019	8331
218	1024	8327
219	1028	8323
220	1033	8318
221	1037	8311
222	1042	8307
223	1047	8302
224	1052	8300
225	1056	8295
226	1061	8293
227	1066	8291
228	1071	8286
229	1076	8284
230	1082	8292
231	1087	8287
232	1092	8283
233	1097	8279
234	1101	8274
235	1106	8271
236	1111	8265
237	1115	8261
238	1120	8257
239	1125	8253
240	1130	8250
241	1135	8248
242	1139	8242
243	1144	8235
244	1148	8229
245	1153	8226
246	1158	8220
247	1163	8217
248	1167	8213
249	1172	8207
250	1177	8203
251	1182	8199
252	1186	8195
253	1191	8191
254	1197	8191
255	1202	8190
256	1207	8187
257	1212	8184
258	1216	8180
259	1221	8175
260	1226	8171
261	1231	8168
262	1235	8162
263	1240	8156
264	1245	8152
265	1249	8148
266	1254	8145
267	1259	8140
268	1264	8136
269	1268	8130
270	1273	8125
271	1278	8121
272	1283	8117
273	1288	8115
274	1293	8112
275	1298	8109
276	1303	8104
277	1307	8099
278	1312	8095
279	1316	8089
280	1321	8085
281	1326	8083
282	1331	8079
283	1336	8077
284	1341	8074
285	1347	8074
286	1352	8070
287	1356	8065
288	1361	8060
289	1366	8055
290	1370	8051
291	1375	8047
292	1380	8044
293	1385	8040
294	1390	8037
295	1395	8035
296	1400	8031
297	1405	8027
298	1410	8024
299	1415	8023
300	1420	8019
301	1425	8016
302	1430	8011
303	1435	8006
304	1439	8002
305	1445	8000
306	1450	7997
307	1455	7996
308	1460	7993
309	1465	7989
310	1470	7984
311	1475	7980
312	1479	7976
313	1484	7972
314	1489	7969
315	1494	7963
316	1499	7959
317	1503	7954
318	1508	7951
319	1513	7946
320	1518	7941
321	1523	7938
322	1528	7933
323	1533	7930
324	1538	7929
325	1543	7926
326	1548	7922
327	1554	7922
328	1559	7919
329	1563	7914
330	1568	7909
331	1573	7904
332	1578	7900
333	1583	7898
334	1588	7895
335	1593	7890
336	1598	7886
337	1603	7882
338	1607	7878
339	1612	7874
340	1617	7870
341	1622	7867
342	1627	7864
343	1632	7859
344	1637	7854
345	1642	7851
346	1647	7846
347	1651	7842
348	1657	7839
349	1661	7834
350	1667	7831
351	1672	7829
352	1677	7825
353	1682	7822
354	1687	7820
355	1692	7815
356	1697	7811
357	1702	7806
358	1707	7802
359	1711	7798
360	1717	7795
361	1722	7792
362	1727	7788
363	1732	7785
364	1737	7782
365	1742	7778
366	1747	7774
367	1752	7772
368	1757	7769
369	1762	7765
370	1767	7761
371	1772	7758
372	1777	7755
373	1782	7751
374	1787	7746
375	1792	7741
376	1797	7737
377	1802	7734
378	1807	7729
379	1812	7727
380	1817	7724
381	1822	7720
382	1827	7716
383	1833	7715
384	1838	7711
385	1843	7709
386	1849	7706
387	1854	7703
388	1859	7701
389	1864	7697
390	1869	7692
391	1874	7687
392	1879	7684
393	1884	7681
394	1889	7676
395	1894	7673
396	1900	7671
397	1905	7669
398	1910	7665
399	1915	7662
400	1920	7657
401	1925	7653
402	1930	7650
403	1951	7707
404	1956	7703
405	1961	7700
406	1966	7696
407	1971	7691
408	1976	7687
409	1981	7683
410	1986	7679
411	1991	7677
412	1996	7672
413	2001	7668
414	2006	7662
415	2011	7658
416	2015	7653
417	2020	7647
418	2025	7644
419	2031	7640
420	2036	7636
421	2041	7633
422	2046	7630
423	2051	7625
424	2056	7622
425	2062	7619
426	2067	7616
427	2073	7614
428	2078	7610
429	2083	7605
430	2087	7600
431	2092	7595
432	2097	7590
433	2102	7585
434	2107	7582
435	2112	7578
436	2117	7573
437	2122	7569
438	2127	7566
439	2133	7563
440	2138	7560
441	2143	7557
442	2149	7553
443	2154	7548
444	2159	7544
445	2163	7539
446	2168	7534
447	2173	7531
448	2179	7527
449	2184	7522
450	2189	7518
451	2194	7513
452	2199	7511
453	2204	7507
454	2209	7501
455	2214	7496
456	2218	7491
457	2223	7487
458	2228	7483
459	2234	7480
460	2239	7477
461	2244	7473
462	2249	7468
463	2255	7464
464	2260	7462
465	2266	7459
466	2271	7455
467	2276	7450
468	2281	7446
469	2286	7444
470	2291	7439
471	2296	7434
472	2301	7430
473	2306	7425
474	2311	7420
475	2316	7416
476	2321	7413
477	2327	7410
478	2332	7407
479	2337	7403
480	2343	7400
481	2348	7397
482	2354	7395
483	2359	7391
484	2364	7386
485	2369	7382
486	2374	7377
487	2379	7373
488	2385	7371
489	2390	7367
490	2395	7363
491	2401	7360
492	2406	7357
493	2412	7353
494	2417	7349
495	2422	7344
496	2427	7340
497	2432	7337
498	2438	7333
499	2443	7329
500	2448	7326
501	2453	7322
502	2459	7318
503	2463	7313
504	2468	7309
505	2474	7305
506	2479	7302
507	2485	7299
508	2490	7295
509	2496	7292
510	2501	7288
511	2506	7285
512	2511	7280
513	2517	7277
514	2522	7273
515	2527	7268
516	2532	7264
517	2537	7261
518	2543	7257
519	2548	7253
520	2554	7250
521	2559	7247
522	2564	7243
523	2570	7239
524	2575	7235
525	2580	7230
526	2585	7225
527	2590	7221
528	2594	7215
529	2599	7211
530	2605	7207
531	2611	7204
532	2616	7201
533	2621	7197
534	2626	7193
535	2632	7190
536	2637	7186
537	2643	7183
538	2648	7179
539	2654	7177
540	2659	7173
541	2665	7169
542	2670	7166
543	2676	7162
544	2681	7159
545	2686	7154
546	2691	7149
547	2696	7145
548	2702	7141
549	2707	7136
550	2712	7132
551	2717	7129
552	2723	7125
553	2728	7121
554	2733	7116
555	2738	7111
556	2743	7106
557	2748	7101
558	2753	7097
559	2758	7094
560	2764	7090
561	2769	7086
562	2775	7083
563	2780	7079
564	2785	7074
565	2790	7070
566	2795	7065
567	2800	7060
568	2805	7055
569	2810	7050
570	2815	7045
571	2819	7039
572	2824	7034
573	2829	7029
574	2835	7026
575	2840	7021
576	2845	7017
577	2851	7014
578	2855	7009
579	2860	7004
580	2865	6998
581	2870	6993
582	2875	6990
583	2880	6985
584	2885	6980
585	2891	6976
586	2896	6972
587	2902	6968
588	2907	6965
589	2912	6961
590	2917	6956
591	2923	6952
592	2928	6948
593	2934	6944
594	2938	6939
595	2944	6935
596	2949	6930
597	2954	6925
598	2959	6920
599	2964	6917
600	2969	6913
601	2975	6908
602	2979	6903
603	2985	6899
604	2990	6894
605	2995	6889
606	3000	6884
607	3005	6880
608	3010	6875
609	3015	6870
610	3020	6866
611	3025	6862
612	3030	6857
613	3035	6852
614	3040	6847
615	3046	6843
616	3051	6839
617	3056	6834
618	3061	6829
619	3066	6824
620	3071	6820
621	3076	6815
622	3081	6811
623	3087	6807
624	3092	6804
625	3097	6799
626	3102	6794
627	3107	6789
628	3112	6784
629	3117	6779
630	3122	6774
631	3127	6769
632	3132	6764
633	3137	6760
634	3142	6755
635	3147	6750
636	3152	6746
637	3157	6740
638	3162	6735
639	3167	6731
640	3173	6727
641	3178	6722
642	3183	6717
643	3188	6713
644	3193	6709
645	3199	6705
646	3204	6701
647	3209	6696
648	3215	6692
649	3220	6688
650	3226	6684
651	3231	6680
652	3236	6677
653	3242	6673
654	3248	6669
655	3253	6665
656	3259	6662
657	3264	6658
658	3269	6653
659	3275	6650
660	3280	6645
661	3286	6641
662	3291	6637
663	3296	6633
664	3307	6639
665	3312	6634
666	3318	6631
667	3323	6627
668	3328	6622
669	3333	6617
670	3338	6612
671	3343	6607
672	3348	6602
673	3354	6598
674	3359	6593
675	3364	6589
676	3369	6584
677	3375	6580
678	3380	6576
679	3385	6571
680	3390	6566
681	3395	6561
682	3400	6556
683	3405	6551
684	3410	6546
685	3431	6573
686	3436	6568
687	3442	6563
688	3447	6560
689	3452	6554
690	3457	6549
691	3462	6544
692	3467	6539
693	3472	6534
694	3477	6530
695	3482	6525
696	3487	6520
697	3493	6516
698	3498	6511
699	3503	6506
700	3508	6502
701	3514	6497
702	3519	6492
703	3524	6487
704	3529	6483
705	3534	6478
706	3539	6472
707	3544	6468
708	3549	6463
709	3554	6458
710	3559	6453
711	3565	6449
712	3570	6444
713	3575	6439
714	3580	6435
715	3585	6430
716	3591	6425
717	3595	6420
718	3600	6415
719	3606	6410
720	3611	6405
721	3616	6400
722	3622	6397
723	3627	6392
724	3632	6387
725	3637	6382
726	3642	6377
727	3646	6372
728	3651	6366
729	3657	6362
730	3662	6357
731	3667	6352
732	3672	6348
733	3677	6343
734	3682	6337
735	3687	6332
736	3692	6327
737	3697	6323
738	3702	6318
739	3708	6313
740	3713	6309
741	3718	6305
742	3724	6301
743	3730	6297
744	3735	6293
745	3741	6288
746	3746	6283
747	3751	6279
748	3756	6273
749	3761	6268
750	3765	6263
751	3771	6258
752	3776	6253
753	3781	6249
754	3786	6243
755	3791	6238
756	3796	6234
757	3801	6228
758	3806	6223
759	3811	6218
760	3816	6213
761	3821	6208
762	3826	6203
763	3832	6199
764	3837	6194
765	3842	6190
766	3847	6185
767	3852	6180
768	3858	6176
769	3863	6172
770	3868	6167
771	3873	6162
772	3878	6157
773	3883	6152
774	3889	6147
775	3894	6142
776	3899	6137
777	3903	6131
778	3908	6126
779	3913	6121
780	3919	6117
781	3924	6113
782	3930	6108
783	3935	6103
784	3940	6098
785	3944	6092
786	3949	6088
787	3954	6082
788	3959	6077
789	3964	6072
790	3969	6067
791	3974	6062
792	3979	6057
793	3985	6053
794	3990	6048
795	3996	6044
796	4002	6040
797	4007	6036
798	4013	6032
799	4018	6027
800	4023	6023
801	4029	6018
802	4034	6013
803	4039	6008
804	4044	6003
805	4048	5998
806	4053	5992
807	4059	5988
808	4064	5983
809	4069	5978
810	4074	5974
811	4080	5969
812	4085	5964
813	4090	5959
