iter	RMSE
0	9.318295459
1	9.170145032
2	9.030667288
3	8.894659098
4	8.766892351
5	8.627852564
6	8.518999664
7	8.413251089
8	8.296881115
9	8.187403568
10	8.093774749
11	7.995674231
12	7.901672797
13	7.817858857
14	7.721877456
15	7.638540182
16	7.564145563
17	7.489918029
18	7.402071789
19	7.331645989
20	7.266387117
21	7.191759256
22	7.136844984
23	7.076032321
24	7.00672616
25	6.946948982
26	6.887484338
27	6.829984665
28	6.772775061
29	6.718216888
30	6.666205329
31	6.614274477
32	6.573140806
33	6.53327261
34	6.485793212
35	6.446765732
36	6.403278064
37	6.365313356
38	6.326545254
39	6.286282161
40	6.246332081
41	6.20310001
42	6.162201672
43	6.121714707
44	6.088691024
45	6.060396279
46	6.027385441
47	5.999785098
48	5.967223062
49	5.936299142
50	5.905361054
51	5.877111131
52	5.847724733
53	5.823677593
54	5.799551932
55	5.771502356
56	5.749487386
57	5.717032932
58	5.697741242
59	5.678303733
60	5.651191875
61	5.630229771
62	5.61408085
63	5.600072053
64	5.580665324
65	5.559732237
66	5.532182109
67	5.51390389
68	5.494793041
69	5.476505388
70	5.462520516
71	5.448055877
72	5.429815389
73	5.411042191
74	5.39387738
75	5.374427387
76	5.355643205
77	5.33995704
78	5.32361167
79	5.307806902
80	5.29265215
81	5.278370503
82	5.256611089
83	5.242900527
84	5.229795575
85	5.211729201
86	5.203378094
87	5.183722005
88	5.16909008
89	5.157814061
90	5.14355408
91	5.128487601
92	5.112676883
93	5.099642674
94	5.082339642
95	5.072164829
96	5.055208422
97	5.038797265
98	5.030030812
99	5.019545085
100	5.005937444
101	4.990709344
102	4.977406495
103	4.968397507
104	4.961507701
105	4.950794381
106	4.94129819
107	4.924611856
108	4.911841626
109	4.898157031
110	4.887412087
111	4.877297428
112	4.869089835
113	4.858061313
114	4.842691468
115	4.834944352
116	4.82723467
117	4.819035469
118	4.810667963
119	4.80317094
120	4.79753326
121	4.785467815
122	4.776896664
123	4.767657647
124	4.756203113
125	4.746248486
126	4.736541952
127	4.725353648
128	4.716211835
129	4.707473286
130	4.695287411
131	4.687312188
132	4.678032553
133	4.671186207
134	4.659653958
135	4.650357445
136	4.642107187
137	4.63336745
138	4.625494898
139	4.613378887
140	4.607645735
141	4.598849687
142	4.589598459
143	4.577739123
144	4.568848448
145	4.560695035
146	4.55009339
147	4.543125108
148	4.533602645
149	4.525325943
150	4.512557466
151	4.507494726
152	4.4960998
153	4.487121964
154	4.472061397
155	4.464340948
156	4.449964703
157	4.439972567
158	4.430190021
159	4.422750218
160	4.415942333
161	4.408419703
162	4.398920189
163	4.391305109
164	4.381782408
165	4.371210577
166	4.364891448
167	4.349268907
168	4.339716797
169	4.330762126
170	4.321511543
171	4.311779519
172	4.30366207
173	4.291542178
174	4.27605897
175	4.268040742
176	4.261053037
177	4.250545547
178	4.23812294
179	4.228017279
180	4.219143816
181	4.208701441
182	4.201207185
183	4.187796211
184	4.178419104
185	4.171276871
186	4.165633408
187	4.158062778
188	4.150470535
189	4.14068188
190	4.134281361
191	4.128363132
192	4.120231726
193	4.110328481
194	4.102770049
195	4.092483956
196	4.084349961
197	4.07182697
198	4.061848865
199	4.054771932
200	4.047757074
201	4.037574846
202	4.026966827
203	4.016566119
204	4.005121614
205	3.989426516
206	3.980385734
207	3.973032694
208	3.964668929
209	3.951927941
210	3.947692455
211	3.9361324
212	3.924495664
213	3.914508541
214	3.90240641
215	3.892187171
216	3.882486707
217	3.872283289
218	3.862893139
219	3.856352957
220	3.846480409
221	3.836060294
222	3.824176301
223	3.821293529
224	3.817939219
225	3.80868513
226	3.79507505
227	3.787010472
228	3.779371546
229	3.765001961
230	3.758583286
231	3.749476704
232	3.737032987
233	3.725833924
234	3.714059122
235	3.706140755
236	3.695115621
237	3.684705997
238	3.676171267
239	3.663330824
240	3.652196712
241	3.647866012
242	3.640784235
243	3.628296936
244	3.619456755
245	3.608364262
246	3.59468673
247	3.584958441
248	3.574450405
249	3.557547691
250	3.550549868
251	3.537276505
252	3.529785523
253	3.524255325
254	3.517523023
255	3.50745897
256	3.496954643
257	3.485928529
258	3.477637879
259	3.470001275
260	3.462355146
261	3.457075107
262	3.446879335
263	3.439179351
264	3.430421415
265	3.421123441
266	3.412696791
267	3.405321987
268	3.393316008
269	3.382234722
270	3.377065463
271	3.367245625
272	3.355957227
273	3.344653487
274	3.334936314
275	3.322158757
276	3.317127287
277	3.313028339
278	3.310738065
279	3.306173995
280	3.294224727
281	3.284303733
282	3.269796811
283	3.263443373
284	3.254899104
285	3.245520249
286	3.235044937
287	3.226891188
288	3.219014723
289	3.210027691
290	3.196462517
291	3.188931273
292	3.180436069
293	3.173025484
294	3.160383126
295	3.151678191
296	3.149721589
297	3.140246304
298	3.133916868
299	3.125021814
